Building, Road, Heading
47.38079 8.53627, 47.38097 8.53654, 236.30993247402023
47.37592 8.54442, 47.37593 8.54457, 266.1859251671958
47.37615 8.54437, 47.37616 8.54454, 266.63353933786874
47.37656 8.54425, 47.37674 8.54426, 183.179830119739
47.37644 8.54415, 47.37651 8.54388, 464.5344550806971
47.37583 8.54423, 47.37584 8.54457, 268.31531568276347
47.3759 8.54421, 47.37591 8.54457, 268.4088597294332
47.37602 8.54415, 47.37604 8.54455, 267.1375947729745
47.37607 8.54412, 47.37609 8.54455, 267.33699923403174
47.37612 8.54412, 47.37614 8.54454, 267.27368900619734
47.37631 8.54409, 47.37637 8.54379, 461.30993247486833
47.37604 8.54474, 47.37603 8.54456, 446.8201698791023
47.37543 8.54478, 47.37542 8.54461, 446.6335393354822
47.3755 8.54494, 47.37562 8.54488, 513.4349488215651
47.37521 8.54479, 47.3752 8.54463, 446.4236656238938
47.37512 8.54508, 47.37501 8.54514, 331.3895403340996
47.37514 8.54516, 47.37503 8.54523, 327.52880770867256
47.37515 8.54525, 47.37506 8.54531, 326.3099324734983
47.37482 8.54478, 47.37481 8.54466, 445.23635830772963
47.37505 8.54491, 47.37497 8.54495, 333.43494882393975
47.37482 8.54492, 47.37494 8.54486, 513.4349488236005
47.3751 8.54499, 47.37499 8.54505, 331.38954033565545
47.37484 8.54501, 47.37497 8.54495, 515.2248594311184
47.37486 8.5451, 47.37499 8.54504, 515.2248594311184
47.37484 8.54555, 47.3749 8.54574, 252.4744316268924
47.37465 8.54483, 47.37464 8.54467, 446.42366562385416
47.3747 8.54555, 47.37458 8.54564, 323.13010235307036
47.37473 8.54563, 47.37461 8.54573, 320.1944289079016
47.37467 8.54547, 47.37455 8.54556, 323.1301023546988
47.37481 8.54339, 47.37474 8.54338, 368.13010235456306
47.37524 8.54364, 47.37545 8.54371, 198.43494882292202
47.37541 8.54364, 47.37546 8.54366, 201.80140948775562
47.37572 8.54374, 47.37576 8.54346, 458.13010235385065
47.37589 8.54387, 47.37602 8.54359, 474.90476880786025
47.37597 8.54387, 47.37607 8.54363, 472.6198649472876
47.37488 8.54369, 47.37483 8.54384, 288.43494882109
47.37505 8.54358, 47.3751 8.54326, 458.8806591508016
47.37538 8.5438, 47.37544 8.54382, 198.43494882444867
47.37574 8.54385, 47.37555 8.54399, 323.61564818465746
47.37459 8.54417, 47.37473 8.54384, 472.9887168023499
47.37443 8.54356, 47.37431 8.54352, 378.4349488236853
47.37441 8.54369, 47.3743 8.54367, 370.30484646844036
47.37439 8.54407, 47.37426 8.54402, 381.0375110255792
47.37432 8.54428, 47.37422 8.54424, 381.8014094872292
47.37429 8.54443, 47.3742 8.5444, 378.43494882326127
47.37457 8.54516, 47.37444 8.54526, 322.4314079704536
47.3746 8.54526, 47.37448 8.54535, 323.1301023552416
47.37464 8.54536, 47.37451 8.54546, 322.4314079709455
47.37455 8.54368, 47.37473 8.54369, 183.179830119739
47.37461 8.54394, 47.37473 8.54384, 500.1944289084022
47.37467 8.54331, 47.37475 8.54332, 187.1250163489018
47.37466 8.5434, 47.37474 8.54341, 187.1250163482755
47.37466 8.54354, 47.37474 8.54355, 187.1250163482755
47.37435 8.54454, 47.37436 8.5447, 266.4236656238938
47.37445 8.54451, 47.37446 8.54469, 266.82016988135706
47.37547 8.54445, 47.37555 8.54445, 180
47.37558 8.54414, 47.37555 8.54414, 360
47.37566 8.54415, 47.37555 8.54415, 360
47.37454 8.5445, 47.37455 8.54468, 266.82016988138844
47.3747 8.54444, 47.37471 8.54467, 267.5104470772135
47.37538 8.54448, 47.37538 8.54461, 270.0
47.37502 8.54399, 47.37484 8.54402, 350.5376777923411
47.37509 8.54402, 47.37485 8.54407, 348.23171106791165
47.37514 8.54402, 47.37542 8.54395, 525.9637565320736
47.37523 8.54406, 47.37542 8.54395, 509.9314171777997
47.37525 8.54397, 47.37542 8.54395, 533.290163192382
47.37497 8.54395, 47.37484 8.54397, 351.2538377376801
47.37489 8.54404, 47.37484 8.54405, 348.6900675267627
47.37477 8.54415, 47.37485 8.54413, 525.9637565320736
47.37491 8.54412, 47.37485 8.54413, 350.5376777919744
47.37349 8.5431, 47.37351 8.54282, 454.0856167812665
47.37381 8.54311, 47.37384 8.54288, 457.431407971759
47.37415 8.54338, 47.37404 8.54334, 379.98310652212285
47.37392 8.54345, 47.37402 8.54348, 196.69924423380687
47.37371 8.54309, 47.37373 8.54285, 454.7636416905507
47.37367 8.54357, 47.37343 8.54389, 306.86989764574224
47.37359 8.54357, 47.37343 8.54389, 296.5650511773324
47.37349 8.54331, 47.37352 8.54282, 453.50353164507163
47.37348 8.54339, 47.37343 8.54389, 275.71059313770115
47.37277 8.54359, 47.37258 8.54368, 334.6538240584217
47.37287 8.54396, 47.37313 8.54391, 529.1144729455445
47.37288 8.54356, 47.37259 8.5437, 334.23067237563185
47.37301 8.54402, 47.37314 8.54399, 527.0053832084266
47.37331 8.54355, 47.37332 8.5439, 268.3634229578686
47.37337 8.54343, 47.37339 8.54389, 267.5104470780873
47.37326 8.54311, 47.37327 8.54281, 451.9091524322395
47.37325 8.54325, 47.37326 8.54281, 451.3019526729887
47.37309 8.54321, 47.3731 8.5428, 451.3971810277381
47.37326 8.54345, 47.37328 8.5439, 267.4551956202872
47.3731 8.54349, 47.37313 8.54391, 265.9143832196979
47.37299 8.54301, 47.373 8.54279, 452.6025622014715
47.37309 8.54299, 47.3731 8.5428, 453.0127875051393
47.37336 8.54308, 47.37337 8.54281, 452.1210963973307
47.37262 8.54324, 47.37252 8.54327, 343.3007557660064
47.37263 8.54343, 47.37254 8.54345, 347.47119229132744
47.37259 8.54392, 47.37257 8.5438, 440.537677792387
47.37259 8.54413, 47.37255 8.54381, 442.8749836500804
47.37416 8.54395, 47.37426 8.54399, 201.8014094872292
47.37407 8.544, 47.37409 8.54377, 454.9697407279194
47.374 8.54444, 47.37405 8.54459, 251.56505117890998
47.37357 8.54387, 47.37344 8.54392, 338.9624889744208
47.37369 8.54393, 47.37345 8.54402, 339.4439547807883
47.37376 8.54391, 47.37398 8.54375, 503.97262661544653
47.37384 8.54388, 47.37398 8.54375, 497.1210963969403
47.3739 8.54394, 47.37398 8.54375, 472.83365417897124
47.37388 8.54418, 47.37398 8.54375, 463.09189306472285
47.37387 8.54454, 47.37392 8.54469, 251.5650511764673
47.37355 8.54399, 47.37345 8.54403, 338.19859051505205
47.37336 8.54413, 47.37347 8.54409, 520.0168934786943
47.37365 8.5443, 47.37353 8.54438, 326.30993247284584
47.37339 8.54421, 47.37348 8.54418, 521.5650511777565
47.37342 8.54433, 47.3735 8.54428, 507.99461679100165
47.37375 8.54462, 47.3738 8.54477, 251.5650511764673
47.3734 8.54449, 47.37328 8.54457, 326.30993247284584
47.37352 8.54662, 47.37359 8.54679, 247.61986494764898
